n,gamma,eps,diameter,cover,omega_active,cover_margin,m
2,17.524027,1.0,193.22575008130732,1,0,0.0,4
2,1.102582,1.0,294.46160365440113,1,1,-8.526512829121202e-14,4
2,176.844928,1.0,280.95994473023916,1,1,-8.526512829121202e-14,3
2,20.071044,1.0,210.67447036820127,1,0,0.0,4
2,12.05215,1.0,193.29459715730746,1,0,0.0,4
2,96.657697,1.0,45.78824182244236,1,0,-1.0658141036401503e-14,4
2,64.330386,1.0,51.92819962977155,1,0,0.0,4
2,13.173664,1.0,290.70857887914224,1,1,-2.842170943040401e-14,5
2,71.7761,1.0,53.017547279937965,0,1,-0.46659771560679886,6
2,29.705341,1.0,99.53147985967952,1,0,-4.263256414560601e-14,4
2,173.65251,1.0,358.66796529430246,1,0,-1.1368683772161603e-13,4
2,28.795028,1.0,76.34464945968875,1,0,-2.842170943040401e-14,4
2,0.837787,1.0,581.3992458602414,1,1,0.0,5
2,78.629423,1.0,24.217422818313164,1,0,-5.3290705182007514e-14,4
2,80.699332,1.0,45.00947430598218,1,0,0.0,4
2,40.071035,1.0,98.95888569282418,1,0,-7.815970093361102e-14,4
2,144.565197,1.0,94.47560856637475,1,0,-5.684341886080802e-14,4
2,107.419379,1.0,30.64742014975128,1,0,-4.263256414560601e-14,4
2,57.75014,1.0,81.97158976733483,1,0,0.0,4
2,27.002071,1.0,90.21507578981561,1,0,-7.105427357601002e-14,4
2,156.267679,1.0,84.23864591186066,1,0,-7.105427357601002e-15,4
2,71.358539,1.0,42.985724133194786,1,1,-1.0658141036401503e-14,7
2,172.612444,1.0,355.1073648663213,1,0,0.0,4
2,160.106357,1.0,124.85998178898159,1,1,-4.263256414560601e-14,5
2,7.105826,1.0,395.8828043970149,1,0,0.0,4
2,0.051724,1.0,389.53689511795443,1,1,-5.684341886080802e-14,4
2,77.019975,1.0,28.21082674173617,1,0,0.0,4
2,4.531762,1.0,473.6311301925179,1,1,-2.842170943040401e-14,6
2,19.613807,1.0,165.1004210602156,1,1,-1.1368683772161603e-13,5
2,107.423998,1.0,44.08348530255874,1,0,-3.197442310920451e-14,4
2,136.857044,1.0,56.2137950919887,1,0,0.0,4
2,90.247835,1.0,49.80799319078891,0,0,-0.3099315833734302,4
2,18.568297,1.0,56.33459687134672,1,1,0.0,4
2,11.47996,1.0,64.28233765748755,1,1,0.0,5
2,174.425725,1.0,684.662440054457,1,1,0.0,7
2,51.945093,1.0,35.174732297527505,1,0,0.0,4
2,139.083688,1.0,84.79655993003206,1,0,-3.552713678800501e-14,4
